instancia,ordenes,obj,expected,error,tiempo,it
instance_0001,61.0,15.0,15.0,0.0,1.0,3.0
instance_0002,7.0,2.0,2.0,0.0,1.0,1.0
instance_0003,82.0,12.0,12.0,0.0,1.0,3.0
instance_0004,16.0,3.5,3.5,0.0,1.0,4.0
instance_0005,2625.0,177.875,177.88,0.0049999999999954525,24.0,2.0
instance_0006,10341.0,691.0,691.0,0.0,4.0,5.0
instance_0007,8320.0,392.25,392.25,0.0,6.0,4.0
instance_0008,2185.0,162.94117647058823,162.94,0.0011764705882342241,72.0,1.0
instance_0009,70.0,4.416666666666667,4.42,0.0033333333333329662,1.0,5.0
instance_0010,1602.0,16.62857142857143,16.79,0.16142857142856926,121.0,1.0
instance_0011,1029.0,15.774647887323944,16.85,1.0753521126760575,62.0,1.0
instance_0012,133.0,11.25,11.25,0.0,1.0,4.0
instance_0013,8375.0,117.3846153846154,117.38,0.00461538461540556,5.0,3.0
instance_0014,12402.0,181.63636363636363,181.64,0.003636363636360329,17.0,4.0
instance_0015,7367.0,149.33333333333334,149.33,0.0033333333333303017,3.0,4.0
instance_0016,1108.0,85.0,85.0,0.0,1.0,2.0
instance_0017,417.0,36.5,36.5,0.0,1.0,4.0
instance_0018,2682.0,117.2,117.2,0.0,2.0,3.0
instance_0019,2257.0,202.0,202.0,0.0,1.0,1.0
instance_0020,5.0,5.0,5.0,0.0,1.0,2.0
Tiempo total,,,,,5.433333333333334,
